Player ID,Player,Team,Number of Agents Played,Rounds Played,Rating,ACS,KD,KAST,ADR,KPR,APR,FKPR,FDPR,HSP,CSP,CL,Kills Max,K,D,A,FK,FD,Performance Category
56,Lysoar,FPX,2,85,0.92,208.5,0.95,72.0,133.8,0.71,0.16,0.07,0.12,31.0,,0/8,18,60,63,14,6,10,Baixa Performance
57,FiNESSE,NRG,2,130,0.91,181.4,0.72,74.0,122.5,0.52,0.41,0.1,0.1,16.0,10.0,01-Oct,16,67,93,53,10,10,Baixa Performance
58,Biank,BLG,3,237,0.9,188.5,0.89,71.0,128.5,0.65,0.36,0.07,0.09,22.0,16.0,Apr-25,25,155,174,85,16,21,Baixa Performance
59,Knight,BLG,4,237,0.9,188.8,0.91,70.0,123.1,0.66,0.32,0.06,0.13,28.0,13.0,Apr-31,19,157,172,76,14,30,Baixa Performance
60,Haodong,EDG,3,358,0.89,168.4,0.83,74.0,107.1,0.59,0.47,0.05,0.09,30.0,18.0,Jun-34,22,212,254,167,19,33,Baixa Performance
61,Yuicaw,FPX,2,85,0.89,206.8,0.87,66.0,129.1,0.69,0.15,0.19,0.16,29.0,,0/6,18,59,68,13,16,14,Baixa Performance
62,Rb,DRX,2,283,0.89,162.8,0.85,65.0,113.5,0.58,0.16,0.08,0.08,23.0,21.0,Dec-57,23,163,191,45,23,24,Baixa Performance
63,nukkye,GIA,2,161,0.89,185.7,0.88,65.0,131.2,0.65,0.19,0.06,0.06,21.0,6.0,Feb-31,22,105,119,31,10,10,Baixa Performance
64,qw1,FUT,2,216,0.88,190.6,0.93,64.0,123.2,0.7,0.08,0.16,0.17,28.0,12.0,Feb-17,21,151,163,18,35,37,Baixa Performance
65,ban,T1,2,129,0.85,176.3,0.82,66.0,109.9,0.62,0.33,0.05,0.12,33.0,11.0,Feb-19,16,80,98,43,6,16,Baixa Performance
66,ANGE1,NAVI,3,204,0.84,176.8,0.75,70.0,117.7,0.59,0.44,0.1,0.14,26.0,18.0,02-Nov,24,120,161,89,21,29,Baixa Performance
67,NagZ,KRÜ,1,90,0.83,149.5,0.72,61.0,103.5,0.48,0.32,0.04,0.06,18.0,,0/14,13,43,60,29,4,5,Baixa Performance
68,rin,BLG,3,237,0.82,144.9,0.73,66.0,91.9,0.51,0.34,0.05,0.07,23.0,8.0,Feb-24,16,122,167,81,12,17,Baixa Performance
69,soulcas,TL,2,92,0.82,134.8,0.76,65.0,81.7,0.48,0.27,0.04,0.03,39.0,6.0,Jan-17,13,44,58,25,4,3,Baixa Performance
70,Klaus,KRÜ,1,90,0.79,157.3,0.71,64.0,106.6,0.54,0.28,0.07,0.18,31.0,,0/3,14,49,69,25,6,16,Baixa Performance
71,Redgar,TL,3,92,0.76,162.8,0.69,68.0,110.5,0.53,0.35,0.08,0.1,32.0,,0/7,19,49,71,32,7,9,Baixa Performance
72,nizhaoTZH,FPX,3,85,0.76,137.3,0.71,66.0,95.2,0.49,0.27,0.06,0.07,37.0,6.0,Jan-16,17,42,59,23,5,6,Baixa Performance
73,Melser,KRÜ,3,90,0.75,145.5,0.64,69.0,94.3,0.49,0.27,0.1,0.14,26.0,,0/11,14,44,69,24,9,13,Baixa Performance
74,Jamppi,TL,4,92,0.72,162.5,0.85,55.0,108.4,0.61,0.07,0.13,0.2,21.0,27.0,03-Nov,22,56,66,6,12,18,Baixa Performance
75,Carpe,T1,4,129,0.72,149.8,0.68,60.0,99.1,0.54,0.25,0.04,0.12,26.0,33.0,02-Jun,17,70,103,32,5,16,Baixa Performance
76,BerLIN,FPX,3,85,0.71,155.8,0.6,65.0,106.1,0.47,0.34,0.12,0.13,37.0,,0/7,13,40,67,29,10,11,Baixa Performance
77,SugarZ3ro,ZETA,2,79,0.67,120.7,0.66,63.0,72.8,0.48,0.3,0.02,0.12,20.0,,0/4,17,38,58,24,1,6,Baixa Performance
78,Laz,ZETA,2,79,0.66,143.7,0.8,51.0,84.8,0.61,0.14,0.06,0.22,26.0,7.0,Jan-14,20,48,60,11,3,11,Baixa Performance
79,TENNN,ZETA,1,79,0.62,160.7,0.67,51.0,111.8,0.56,0.11,0.08,0.25,18.0,,0/7,16,44,66,9,4,13,Baixa Performance
80,crow,ZETA,2,79,0.51,108.3,0.48,53.0,73.1,0.37,0.29,0.02,0.04,16.0,,0/7,13,29,61,23,1,2,Baixa Performance
